ID,NAME,VOTE_NUM,VOTE_PER,S_NUM,Social Democratic,M_NUM,Moderate,SD_NUM,Swedish Democratic,C_NUM,Center,V_NUM,Left,KD_NUM,Christian Democratic,L_NUM,Liberal,MP_NUM,Green,FI_NUM,Feminist,OTHER_NUM,Other,POPULATION,POPDENS,MEDIANAGE,BIRTHPLACE,HIGHERED,DISPINCOME,LANDUSE
1,Stockholm_Municipal,614860,87.3,145245,23.8,133731,21.9,60135,9.8,55428,9.1,80217,13.1,29776,4.9,47988,7.9,47044,7.7,4360,0.7,7282,1.2,2344124,359.9,39.3,0.2542,0.2189,424600,0.1384
2,Stockholm,820787,86.6,187924,23.1,212009,26,124226,15.2,69786,8.6,56466,6.9,56884,7,56525,6.9,39042,4.8,3084,0.4,9085,1.1,2344124,359.9,39.3,0.2542,0.2189,424600,0.1384
3,Uppsala,243444,88.9,65168,27,45790,19,37297,15.4,22246,9.2,21102,8.7,16661,6.9,15071,6.2,13404,5.6,1456,0.6,3294,1.4,376354,46,40.1,0.1803,0.1995,372500,0.0486
4,Södermanland,185312,86.9,57612,31.4,37401,20.4,35450,19.3,13577,7.4,12162,6.6,10089,5.5,7958,4.3,6773,3.7,642,0.3,1785,1,294695,48.5,42.3,0.1998,0.114,340600,0.0582
5,Östergötland,303607,88.2,87450,29.1,61354,20.4,53017,17.6,25162,8.4,20352,6.8,20065,6.7,16082,5.3,12595,4.2,1210,0.4,3491,1.2,461583,43.7,41.3,0.1623,0.1553,343000,0.0489
6,Jönköping,231672,88.1,63782,27.8,40542,17.7,44216,19.3,23084,10.1,11283,4.9,27437,12,9096,4,7401,3.2,603,0.3,2136,0.9,360825,34.6,41.4,0.1781,0.1199,365800,0.0484
7,Kronoberg,125780,88.2,36817,29.6,23893,19.2,25258,20.3,11712,9.4,7531,6,9418,7.6,4383,3.5,4020,3.2,342,0.3,1196,1,199886,23.7,41.4,0.2006,0.1321,349100,0.0444
8,Kalmar,162490,88.1,50178,31.2,27733,17.2,33075,20.6,15774,9.8,9851,6.1,11583,7.2,6038,3.8,4645,2.9,470,0.3,1517,0.9,244670,21.9,43.9,0.1431,0.1175,329100,0.0439
9,Gotland,41598,88.7,12254,29.8,6822,16.6,5226,12.7,7075,17.2,3704,9,1699,4.1,1539,3.7,2037,5,388,0.9,385,0.9,59249,18.9,44.8,0.0752,0.1314,325500,0.0493
10,Blekinge,105616,88.5,32824,31.4,18038,17.3,26342,25.2,7094,6.8,5699,5.5,5954,5.7,4197,4,3025,2.9,351,0.3,990,0.9,159684,54.5,43.2,0.1523,0.1309,331800,0.0766
11,Malmö_Municipal,194931,82,56248,29.1,37645,19.5,32480,16.8,11003,5.7,23021,11.9,7426,3.8,10812,5.6,10783,5.6,1511,0.8,2369,1.2,1362164,124.2,40.9,0.2211,0.1688,347200,0.093
12,Skåne_W,193320,85.2,50041,26.1,40284,21,50069,26.1,12298,6.4,9074,4.7,10257,5.4,9930,5.2,6788,3.5,819,0.4,1946,1,1362164,124.2,40.9,0.2211,0.1688,347200,0.093
13,Skåne_S,254899,89.4,55185,21.8,60619,24,55903,22.1,19994,7.9,13426,5.3,13527,5.4,17768,7,12435,4.9,1250,0.5,2697,1.1,1362164,124.2,40.9,0.2211,0.1688,347200,0.093
14,Skåne_NE,204798,86.3,50610,25,40881,20.2,58360,28.8,13855,6.8,8275,4.1,13150,6.5,8984,4.4,5816,2.9,623,0.3,1948,1,1362164,124.2,40.9,0.2211,0.1688,347200,0.093
15,Halland,218988,89,56021,25.8,49630,22.9,40392,18.6,21960,10.1,10498,4.8,15415,7.1,12444,5.7,7690,3.5,715,0.3,2217,1,329352,60.7,42.1,0.1397,0.1407,398500,0.0717
16,Göteborg_Municipal,352660,84.3,83097,23.8,69432,19.9,47040,13.5,24893,7.1,48946,14,19283,5.5,25337,7.2,24286,6.9,2931,0.8,4400,1.3,1709814,71.8,41,0.1895,0.1651,362000,0.0652
17,Västra_Götaland_W,245520,89.6,58966,24.2,52958,21.8,43848,18,19932,8.2,16607,6.8,18724,7.7,16757,6.9,12166,5,939,0.4,2381,1,1709814,71.8,41,0.1895,0.1651,362000,0.0652
18,Västra_Götaland_N,176415,86.8,53328,30.5,30794,17.6,37391,21.4,13809,7.9,11029,6.3,11347,6.5,8124,4.7,6349,3.6,661,0.4,1741,1,1709814,71.8,41,0.1895,0.1651,362000,0.0652
19,Västra_Götaland_S,144918,87.4,40234,28,27197,19,28221,19.7,13760,9.6,9213,6.4,10445,7.3,7624,5.3,4891,3.4,450,0.3,1470,1,1709814,71.8,41,0.1895,0.1651,362000,0.0652
20,Västra_Götaland_E,178947,88.2,53888,30.4,32569,18.4,34501,19.5,16533,9.3,10106,5.7,13837,7.8,7662,4.3,5425,3.1,627,0.4,1853,1,1709814,71.8,41,0.1895,0.1651,362000,0.0652
21,Värmland,186022,87.3,62369,33.9,30219,16.4,33118,18,17071,9.3,12779,6.9,11657,6.3,8168,4.4,6133,3.3,750,0.4,1702,0.9,281482,16.1,43.6,0.1342,0.1263,314900,0.0317
22,Örebro,197100,87.7,64646,33.1,32470,16.6,35499,18.2,15254,7.8,14775,7.6,13520,6.9,8888,4.6,7189,3.7,779,0.4,2137,1.1,302252,35.5,41.6,0.1249,0.1308,327900,0.0461
